Estadísticas Climatológicas Normales - período 1991-2020													
													
Se deja constancia que la información vertida en el presente informe puede sufrir variaciones debido a los procesos de consistencia y depuración a los que es sometida la misma	
S/D: Sin Dato	
Las estadísticas de las estaciones que poseen un asterisco(*) en su nombre, fueron confeccionadas con un período algo menor que 1991-2020  


Estación	Valor Medio de	Ene	Feb	Mar	Abr	May	Jun	Jul	Ago	Sep	Oct	Nov	Dic	
CERES AERO	Temperatura mínima (°C)	19.4	18.6	17.0	14.1	10.7	7.8	6.1	7.5	10.1	13.7	15.9	18.1	
CERES AERO	Humedad relativa (%)	70.8	74.8	77.0	79.7	80.8	79.9	74.9	68.3	66.2	68.6	68.1	69.3	
CERES AERO	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
CERES AERO	Nubosidad total (octavos)	3.2	3.2	3.3	3.7	4.1	4.1	3.4	3.0	3.2	3.7	3.1	3.2	
CERES AERO	Precipitación (mm)	140.0	116.8	147.3	101.1	39.7	18.8	8.4	12.0	31.3	80.5	106.4	140.9	
CERES AERO	Frecuencia de días con Precipitación superior a 1.0 mm	7.0	6.5	6.8	5.9	3.3	2.3	1.3	1.4	3.3	5.9	6.8	7.4	
RECONQUISTA AERO	Temperatura (°C)	26.4	25.3	23.6	20.4	16.9	14.4	13.5	15.6	17.7	20.8	23.0	25.2	
RECONQUISTA AERO	Temperatura máxima (°C)	32.4	31.2	29.4	26.0	22.2	19.9	19.7	22.7	24.4	26.8	29.0	31.1	
RECONQUISTA AERO	Temperatura mínima (°C)	21.0	20.4	18.8	15.8	12.6	10.1	8.7	10.0	12.1	15.4	17.4	19.7	
RECONQUISTA AERO	Humedad relativa (%)	70.1	74.1	76.5	79.3	80.8	81.3	76.4	70.3	69.1	71.6	69.0	69.9	
RECONQUISTA AERO	Velocidad del Viento (km/h) (2011-2020)	12.3	11.6	10.8	10.4	10.8	11.0	12.2	15.1	15.4	15.9	14.4	12.5	
RECONQUISTA AERO	Nubosidad total (octavos)	3.3	3.4	3.3	3.6	4.0	4.3	3.7	3.3	3.5	3.8	3.1	3.2	
RECONQUISTA AERO	Precipitación (mm)	150.9	150.9	138.4	141.5	75.0	34.8	24.1	36.2	45.5	108.9	156.8	162.8	
RECONQUISTA AERO	Frecuencia de días con Precipitación superior a 1.0 mm	6.8	7.0	6.5	7.1	4.7	3.0	2.4	2.7	4.6	7.6	7.7	7.6	
PASO DE LOS LIBRES AERO	Temperatura (°C)	26.0	25.1	23.4	20.1	16.4	14.2	13.4	15.4	17.2	20.2	22.6	24.9	
PASO DE LOS LIBRES AERO	Temperatura máxima (°C)	32.2	31.1	29.5	26.0	21.8	19.6	19.0	21.8	23.2	25.8	28.6	31.0	
PASO DE LOS LIBRES AERO	Temperatura mínima (°C)	20.6	20.0	18.4	15.4	12.1	10.1	9.0	10.3	12.2	15.2	16.9	19.2	
PASO DE LOS LIBRES AERO	Humedad relativa (%)	69.7	72.5	74.6	77.5	81.5	82.6	79.7	74.9	73.2	73.5	68.4	68.1	
PASO DE LOS LIBRES AERO	Velocidad del Viento (km/h) (2011-2020)	16.5	15.8	15.5	14.9	14.7	14.5	15.4	17.9	19.3	19.7	17.7	15.9	
PASO DE LOS LIBRES AERO	Nubosidad total (octavos)	3.7	3.7	3.5	3.6	4.0	4.3	4.0	3.7	4.0	4.0	3.4	3.6	
PASO DE LOS LIBRES AERO	Precipitación (mm)	143.9	144.4	148.9	180.4	125.4	88.9	68.2	57.0	91.7	173.0	134.2	161.7	
PASO DE LOS LIBRES AERO	Frecuencia de días con Precipitación superior a 1.0 mm	6.9	7.0	6.7	7.4	7.1	6.0	5.4	4.6	6.3	8.8	6.5	7.4	
JACHAL	Temperatura (°C)	25.4	23.3	21.0	16.0	11.2	8.4	7.2	10.0	13.5	18.3	22.0	24.9	
JACHAL	Temperatura máxima (°C)	32.9	31.2	29.0	24.5	20.5	18.5	17.6	20.4	22.8	26.9	30.3	32.7	
JACHAL	Temperatura mínima (°C)	16.6	15.1	13.0	7.2	2.6	-1.0	-2.4	-0.6	3.3	7.8	11.8	15.2	
JACHAL	Humedad relativa (%)	53.4	58.1	62.0	64.9	66.2	63.4	61.7	56.0	54.4	50.6	48.2	49.1	
JACHAL	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
JACHAL	Nubosidad total (octavos)	3.0	2.9	2.9	2.5	2.5	2.3	2.0	1.8	2.0	2.0	2.0	2.4	
JACHAL	Precipitación (mm)	18.6	32.3	16.0	8.2	5.7	3.2	3.4	1.8	5.4	4.8	5.9	18.1	
JACHAL	Frecuencia de días con Precipitación superior a 1.0 mm	2.9	3.6	2.3	1.4	1.1	0.6	0.8	0.5	1.0	1.0	0.9	2.0	
SAN JUAN AERO	Temperatura (°C)	27.3	25.6	22.8	17.3	12.3	8.4	7.5	10.7	14.9	19.6	23.5	26.4	
SAN JUAN AERO	Temperatura máxima (°C)	35.1	33.3	30.5	25.3	20.5	17.3	16.7	20.3	23.8	27.9	31.6	34.4	
SAN JUAN AERO	Temperatura mínima (°C)	19.8	18.4	16.1	10.9	6.0	1.5	0.3	2.7	6.6	11.3	15.0	18.0	
SAN JUAN AERO	Humedad relativa (%)	43.0	46.9	52.6	57.3	62.2	60.2	55.1	45.5	40.8	38.8	38.2	38.1	
SAN JUAN AERO	Velocidad del Viento (km/h) (2011-2020)	15.3	14.6	13.0	11.5	9.7	9.8	10.4	11.7	13.7	16.4	17.2	16.6	
SAN JUAN AERO	Nubosidad total (octavos)	2.8	2.7	2.6	2.6	2.9	2.6	2.3	2.1	2.2	2.4	2.2	2.3	
SAN JUAN AERO	Precipitación (mm)	17.4	22.5	10.8	4.6	3.4	1.8	1.3	2.6	3.7	2.9	7.2	12.4	
SAN JUAN AERO	Frecuencia de días con Precipitación superior a 1.0 mm	2.8	2.2	1.9	0.9	0.7	0.3	0.4	0.4	0.8	0.8	1.1	1.6	
CHAMICAL AERO	Temperatura (°C)	27.0	25.3	23.2	19.3	15.2	11.8	11.0	14.3	18.1	22.1	24.6	26.6	
CHAMICAL AERO	Temperatura máxima (°C)	33.8	31.9	29.5	25.6	21.4	18.6	18.7	22.4	25.7	29.3	31.8	33.8	
CHAMICAL AERO	Temperatura mínima (°C)	20.6	19.5	18.0	14.3	10.2	6.5	5.0	7.5	10.9	15.0	17.8	19.6	
CHAMICAL AERO	Humedad relativa (%)	58.3	62.6	67.3	69.0	70.3	68.2	60.2	49.7	46.5	48.3	50.7	53.5	
CHAMICAL AERO	Velocidad del Viento (km/h) (2011-2020)	8.4	6.9	6.2	5.0	4.3	4.1	4.1	6.0	8.2	10.1	9.9	8.8	
CHAMICAL AERO	Nubosidad total (octavos)	3.5	3.7	3.7	3.8	3.9	3.5	2.7	2.2	2.5	2.9	3.1	3.2	
CHAMICAL AERO	Precipitación (mm)	93.4	88.3	67.2	27.6	10.2	3.4	3.2	2.7	7.8	28.1	45.5	82.7	
CHAMICAL AERO	Frecuencia de días con Precipitación superior a 1.0 mm	5.8	5.3	5.2	3.1	1.9	0.7	0.6	0.4	1.4	2.5	4.0	5.6	
VILLA DOLORES AERO	Temperatura (°C)	25.4	23.8	21.8	17.8	13.9	10.7	10.0	13.0	16.3	20.1	22.8	24.7	
VILLA DOLORES AERO	Temperatura máxima (°C)	32.7	31.0	28.8	24.8	20.9	18.4	18.1	21.6	24.6	27.9	30.4	32.2	
VILLA DOLORES AERO	Temperatura mínima (°C)	18.4	17.4	16.0	12.7	9.0	5.6	4.4	6.5	9.2	12.8	15.4	17.4	
VILLA DOLORES AERO	Humedad relativa (%)	58.6	64.9	68.9	71.4	72.9	69.8	62.6	51.5	48.4	50.8	52.1	55.3	
VILLA DOLORES AERO	Velocidad del Viento (km/h) (2011-2020)	10.9	9.8	10.1	9.3	9.2	9.6	9.8	11.3	11.5	11.3	12.9	13.1	
VILLA DOLORES AERO	Nubosidad total (octavos)	3.3	3.4	3.3	3.6	3.8	3.4	3.0	2.7	2.9	3.2	3.2	3.2	
VILLA DOLORES AERO	Precipitación (mm)	111.3	108.3	93.0	49.8	18.4	6.7	6.7	4.7	19.9	41.9	77.3	102.7	
VILLA DOLORES AERO	Frecuencia de días con Precipitación superior a 1.0 mm	8.5	8.0	6.8	4.9	2.7	1.4	1.1	1.0	2.5	4.3	7.3	8.5	
CÓRDOBA AERO	Temperatura (°C)	23.5	22.0	20.5	17.3	13.7	10.6	9.8	12.4	15.2	18.3	20.9	22.9	
CÓRDOBA AERO	Temperatura máxima (°C)	29.9	28.2	27.0	24.1	20.6	18.3	17.7	20.8	23.0	25.4	28.0	29.7	
CÓRDOBA AERO	Temperatura mínima (°C)	17.5	16.5	15.1	11.9	8.4	4.7	3.7	5.5	8.1	11.6	14.2	16.6	
CÓRDOBA AERO	Humedad relativa (%)	68.1	74.0	75.1	73.1	73.5	69.4	63.5	55.4	55.0	60.5	60.9	63.3	
CÓRDOBA AERO	Velocidad del Viento (km/h) (2011-2020)	12.6	11.3	11.5	11.1	11.0	11.4	11.9	14.1	14.9	14.8	15.2	14.4	
CÓRDOBA AERO	Nubosidad total (octavos)	3.8	3.9	3.8	4.0	4.3	3.7	3.4	3.0	3.3	3.8	3.7	3.7	
CÓRDOBA AERO	Precipitación (mm)	121.9	140.2	116.9	65.3	24.4	6.6	6.0	8.5	32.6	71.5	115.9	146.5	
CÓRDOBA AERO	Frecuencia de días con Precipitación superior a 1.0 mm	8.5	7.9	7.3	5.2	3.2	0.9	1.1	0.7	3.2	5.4	8.1	8.6	
CÓRDOBA OBSERVATORIO	Temperatura (°C)	24.7	23.2	21.8	18.4	14.7	11.6	10.8	13.5	16.2	19.4	22.1	24.2	
CÓRDOBA OBSERVATORIO	Temperatura máxima (°C)	31.2	29.4	28.1	25.0	21.3	19.0	18.4	21.5	23.8	26.3	29.1	31.0	
CÓRDOBA OBSERVATORIO	Temperatura mínima (°C)	18.9	17.8	16.5	13.3	9.9	6.4	5.5	7.4	10.0	13.4	15.8	18.1	
CÓRDOBA OBSERVATORIO	Humedad relativa (%)	65.1	70.5	71.9	72.0	73.6	71.1	65.8	55.7	55.8	59.4	59.6	61.3	
CÓRDOBA OBSERVATORIO	Velocidad del Viento (km/h) (2011-2020)	8.5	7.7	7.6	6.9	6.0	5.9	6.5	7.6	8.5	8.9	9.3	9.0	
CÓRDOBA OBSERVATORIO	Nubosidad total (octavos)	3.5	3.7	3.6	3.9	4.1	3.6	3.2	2.8	3.2	3.6	3.5	3.5	
CÓRDOBA OBSERVATORIO	Precipitación (mm)	121.6	126.6	99.9	61.2	20.7	6.7	6.7	8.0	33.7	76.9	109.7	143.9	
CÓRDOBA OBSERVATORIO	Frecuencia de días con Precipitación superior a 1.0 mm	8.8	8.4	7.6	5.6	3.3	1.0	1.3	1.0	3.1	5.9	8.3	9.6	
PILAR OBSERVATORIO	Temperatura (°C)	23.7	22.1	20.6	17.3	13.7	10.6	9.6	12.0	14.9	18.2	21.1	23.3	
PILAR OBSERVATORIO	Temperatura máxima (°C)	30.1	28.3	27.0	24.0	20.2	17.6	17.1	20.2	22.6	25.1	28.0	30.0	
PILAR OBSERVATORIO	Temperatura mínima (°C)	18.0	17.0	15.5	12.3	8.9	5.3	4.2	5.7	8.4	12.1	14.8	17.1	
PILAR OBSERVATORIO	Humedad relativa (%)	69.7	75.5	76.5	74.8	76.0	73.1	67.2	59.5	57.9	62.7	62.1	63.7	
PILAR OBSERVATORIO	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
PILAR OBSERVATORIO	Nubosidad total (octavos)	3.4	3.5	3.4	3.7	4.2	3.7	3.4	3.0	3.2	3.6	3.4	3.4	
PILAR OBSERVATORIO	Precipitación (mm)	112.5	112.1	97.5	64.9	23.9	7.0	6.1	8.1	28.1	76.3	98.9	118.4	
PILAR OBSERVATORIO	Frecuencia de días con Precipitación superior a 1.0 mm	7.9	7.5	6.9	5.2	2.9	1.1	1.0	0.9	2.8	5.5	7.9	8.2	
SAUCE VIEJO AERO	Temperatura (°C)	25.7	24.4	22.6	18.9	15.5	12.4	11.5	13.8	16.3	19.4	22.2	24.4	
SAUCE VIEJO AERO	Temperatura máxima (°C)	31.5	30.0	28.5	24.6	21.0	18.0	17.5	20.3	22.5	25.2	28.0	30.2	
SAUCE VIEJO AERO	Temperatura mínima (°C)	20.1	19.1	17.6	14.0	11.0	7.9	6.7	8.3	10.6	14.0	16.5	18.7	
SAUCE VIEJO AERO	Humedad relativa (%)	68.5	72.9	75.0	78.5	80.7	80.7	77.4	72.0	69.1	70.2	67.4	67.2	
SAUCE VIEJO AERO	Velocidad del Viento (km/h) (2011-2020)	12.3	11.4	10.8	11.0	11.7	11.8	13.0	14.4	14.1	14.6	13.9	12.5	
SAUCE VIEJO AERO	Nubosidad total (octavos)	2.9	3.1	2.9	3.3	3.7	3.9	3.5	3.0	3.2	3.5	3.0	3.0	
SAUCE VIEJO AERO	Precipitación (mm)	98.7	117.5	138.4	127.9	52.1	33.3	25.4	32.2	49.4	114.8	143.0	143.1	
SAUCE VIEJO AERO	Frecuencia de días con Precipitación superior a 1.0 mm	6.3	6.8	6.4	7.0	4.0	2.6	2.5	3.0	4.4	7.1	7.1	7.7	
PARANÁ AERO	Temperatura (°C)	25.0	23.6	21.8	18.3	15.0	12.2	11.4	13.3	15.5	18.6	21.5	23.8	
PARANÁ AERO	Temperatura máxima (°C)	31.2	29.7	27.9	24.0	20.3	17.3	16.9	19.6	21.8	24.6	27.6	29.8	
PARANÁ AERO	Temperatura mínima (°C)	19.4	18.6	16.9	13.8	11.0	8.3	7.2	8.4	10.2	13.3	15.7	18.0	
PARANÁ AERO	Humedad relativa (%)	66.3	71.5	73.9	77.1	79.5	79.6	75.4	70.2	67.7	69.5	65.3	64.9	
PARANÁ AERO	Velocidad del Viento (km/h) (2011-2020)	11.9	11.2	9.8	10.1	10.4	10.9	11.4	13.1	13.8	14.7	13.5	12.5	
PARANÁ AERO	Nubosidad total (octavos)	3.0	3.2	3.0	3.4	3.9	4.0	3.6	3.2	3.3	3.6	3.1	3.1	
PARANÁ AERO	Precipitación (mm)	112.2	128.3	147.6	136.6	63.5	36.7	30.8	38.4	54.0	131.1	123.6	152.0	
PARANÁ AERO	Frecuencia de días con Precipitación superior a 1.0 mm	6.7	6.9	6.4	7.2	4.5	3.1	2.9	3.2	4.6	7.3	6.7	7.4	
MONTE CASEROS AERO	Temperatura (°C)	26.2	25.1	23.3	19.9	16.2	13.9	13.1	15.1	17.0	20.0	22.6	24.9	
MONTE CASEROS AERO	Temperatura máxima (°C)	32.4	31.2	29.6	25.8	21.7	19.3	18.9	21.7	23.1	25.8	28.7	31.1	
MONTE CASEROS AERO	Temperatura mínima (°C)	20.6	20.0	18.3	15.3	12.0	9.8	8.8	10.1	11.9	14.9	16.8	19.1	
MONTE CASEROS AERO	Humedad relativa (%)	68.4	72.5	74.6	78.0	81.1	81.5	78.3	73.7	72.5	73.0	68.1	67.5	
MONTE CASEROS AERO	Velocidad del Viento (km/h) (2011-2020)	11.2	10.8	10.4	10.1	10.5	11.5	12.2	14.3	14.2	13.6	12.2	11.4	
MONTE CASEROS AERO	Nubosidad total (octavos)	3.3	3.4	3.2	3.5	3.9	4.2	3.9	3.5	3.8	3.9	3.2	3.3	
MONTE CASEROS AERO	Precipitación (mm)	157.4	140.6	136.8	197.2	114.7	82.3	61.7	64.5	91.9	157.6	149.1	167.3	
MONTE CASEROS AERO	Frecuencia de días con Precipitación superior a 1.0 mm	7.4	6.9	7.1	7.6	6.8	5.2	4.5	4.2	6.2	8.4	6.7	7.8	
CONCORDIA AERO	Temperatura (°C)	25.6	24.4	22.6	19.0	15.4	13.0	12.1	14.1	16.1	19.1	21.8	24.2	
CONCORDIA AERO	Temperatura máxima (°C)	31.9	30.4	28.6	24.8	20.8	18.2	17.8	20.5	22.3	24.9	27.9	30.5	
CONCORDIA AERO	Temperatura mínima (°C)	19.5	18.9	17.2	14.0	10.9	8.5	7.4	8.7	10.5	13.5	15.6	17.9	
CONCORDIA AERO	Humedad relativa (%)	65.4	70.6	73.2	77.3	81.5	81.6	78.5	73.7	71.6	71.7	66.3	64.6	
CONCORDIA AERO	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
CONCORDIA AERO	Nubosidad total (octavos)	2.9	3.1	2.9	3.3	3.8	4.0	3.7	3.4	3.5	3.6	3.0	2.9	
CONCORDIA AERO	Precipitación (mm)	140.1	152.7	136.4	173.2	111.5	86.3	55.3	74.8	89.6	161.6	134.6	151.9	
CONCORDIA AERO	Frecuencia de días con Precipitación superior a 1.0 mm	6.8	7.1	7.0	7.7	6.2	5.1	4.3	4.9	5.8	8.1	6.7	7.3	
SAN MARTÍN (MZA)	Temperatura (°C)	25.2	23.5	20.9	15.9	11.7	8.4	7.6	10.4	14.0	18.1	21.7	24.4	
SAN MARTÍN (MZA)	Temperatura máxima (°C)	32.9	31.2	28.5	23.6	19.2	16.2	15.8	19.0	22.2	25.9	29.4	32.2	
SAN MARTÍN (MZA)	Temperatura mínima (°C)	18.3	16.9	15.0	10.5	6.6	3.0	1.9	4.1	7.3	11.1	14.4	17.0	
SAN MARTÍN (MZA)	Humedad relativa (%)	53.5	58.6	63.8	67.5	69.8	66.4	61.3	53.8	50.9	49.7	48.8	48.8	
SAN MARTÍN (MZA)	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
SAN MARTÍN (MZA)	Nubosidad total (octavos)	2.7	2.7	2.7	2.8	3.3	2.9	2.5	2.3	2.5	2.5	2.4	2.3	
SAN MARTÍN (MZA)	Precipitación (mm)	48.0	45.0	47.1	19.5	10.9	3.1	3.1	5.9	8.4	15.4	26.6	29.6	
SAN MARTÍN (MZA)	Frecuencia de días con Precipitación superior a 1.0 mm	5.3	4.3	3.3	2.0	1.6	0.6	0.6	0.9	1.4	1.6	2.8	3.5	
MENDOZA AERO	Temperatura (°C)	25.9	24.1	21.5	16.5	12.1	8.7	7.9	10.8	14.5	18.7	22.3	25.1	
MENDOZA AERO	Temperatura máxima (°C)	32.8	31.0	28.1	23.3	18.7	15.9	15.3	18.6	21.8	25.7	29.2	32.0	
MENDOZA AERO	Temperatura mínima (°C)	19.3	17.8	15.7	10.8	6.8	2.9	2.0	4.3	7.8	11.9	15.4	18.1	
MENDOZA AERO	Humedad relativa (%)	48.4	53.8	59.7	64.6	69.1	66.9	62.1	53.2	48.3	45.3	43.5	43.8	
MENDOZA AERO	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
MENDOZA AERO	Nubosidad total (octavos)	3.3	3.3	3.2	3.2	3.7	3.2	3.0	2.7	3.0	3.0	2.9	2.9	
MENDOZA AERO	Precipitación (mm)	47.2	40.8	31.6	18.5	11.0	5.7	5.0	7.9	12.3	11.2	22.1	24.7	
MENDOZA AERO	Frecuencia de días con Precipitación superior a 1.0 mm	4.5	4.0	3.4	2.4	2.0	1.0	1.3	1.3	2.1	2.0	3.0	3.2	
MENDOZA OBSERVATORIO	Temperatura (°C)	24.4	22.6	20.2	15.5	11.4	8.2	7.4	10.1	13.5	17.4	20.8	23.5	
MENDOZA OBSERVATORIO	Temperatura máxima (°C)	30.7	29.2	26.5	22.0	18.0	15.3	14.7	17.6	20.5	24.0	27.3	30.0	
MENDOZA OBSERVATORIO	Temperatura mínima (°C)	18.3	16.9	15.0	10.9	7.2	3.9	2.9	4.9	7.7	11.2	14.4	17.1	
MENDOZA OBSERVATORIO	Humedad relativa (%)	54.3	59.7	64.1	66.7	70.4	67.6	63.5	56.4	53.9	52.2	51.3	51.5	
MENDOZA OBSERVATORIO	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
MENDOZA OBSERVATORIO	Nubosidad total (octavos)	3.2	3.2	3.2	3.2	3.7	3.2	3.0	2.7	3.0	3.0	2.9	2.8	
MENDOZA OBSERVATORIO	Precipitación (mm)	39.6	44.3	35.7	23.3	14.8	8.1	8.3	10.1	14.6	13.9	26.5	27.8	
MENDOZA OBSERVATORIO	Frecuencia de días con Precipitación superior a 1.0 mm	4.9	4.8	4.3	3.0	2.8	1.7	1.6	1.9	2.8	2.4	3.4	3.8	
SAN LUIS AERO	Temperatura (°C)	24.8	23.2	21.1	16.9	13.2	10.3	9.6	12.2	15.3	18.9	21.8	24.0	
SAN LUIS AERO	Temperatura máxima (°C)	31.6	30.0	27.6	23.3	19.6	17.1	16.7	19.5	22.4	25.6	28.5	30.8	
SAN LUIS AERO	Temperatura mínima (°C)	18.3	17.2	15.5	11.8	8.3	5.0	4.0	6.2	9.1	12.5	15.1	17.3	
SAN LUIS AERO	Humedad relativa (%)	52.9	58.1	62.7	64.9	66.2	62.0	56.1	47.6	45.5	47.8	48.5	49.7	
SAN LUIS AERO	Velocidad del Viento (km/h) (2011-2020)	17.4	15.9	14.5	13.6	12.1	13.4	13.9	15.6	16.5	18.4	18.3	17.7	
SAN LUIS AERO	Nubosidad total (octavos)	3.5	3.3	3.2	3.5	4.0	3.7	3.4	3.1	3.3	3.5	3.4	3.3	
SAN LUIS AERO	Precipitación (mm)	115.3	112.5	92.1	44.8	18.6	5.4	5.4	8.6	22.0	50.1	87.4	104.9	
SAN LUIS AERO	Frecuencia de días con Precipitación superior a 1.0 mm	8.3	7.0	6.8	4.4	2.6	1.2	1.4	1.6	2.8	5.0	7.0	8.3	
VILLA REYNOLDS AERO	Temperatura (°C)	23.3	21.6	19.5	15.3	11.4	8.0	7.0	9.7	13.1	16.9	20.0	22.5	
VILLA REYNOLDS AERO	Temperatura máxima (°C)	31.2	29.8	28.0	24.0	20.3	17.7	17.1	20.2	22.6	25.2	28.1	30.6	
VILLA REYNOLDS AERO	Temperatura mínima (°C)	15.5	14.3	12.6	8.7	4.9	1.0	-0.3	1.5	4.6	8.9	11.9	14.3	
VILLA REYNOLDS AERO	Humedad relativa (%)	66.9	72.1	75.1	75.9	77.4	75.0	70.8	63.3	60.9	63.0	62.0	62.1	
VILLA REYNOLDS AERO	Velocidad del Viento (km/h) (2011-2020)	12.7	11.0	9.2	9.2	8.0	7.8	8.6	11.2	12.6	16.3	15.1	14.0	
VILLA REYNOLDS AERO	Nubosidad total (octavos)	3.6	3.6	3.4	3.7	4.1	3.8	3.6	3.4	3.6	3.9	3.8	3.6	
VILLA REYNOLDS AERO	Precipitación (mm)	102.8	89.8	96.2	68.9	31.7	9.8	10.5	15.6	35.4	65.8	92.4	105.4	
VILLA REYNOLDS AERO	Frecuencia de días con Precipitación superior a 1.0 mm	8.4	7.7	7.5	5.7	3.7	1.8	2.0	2.4	4.0	7.1	8.8	9.1	
RÍO CUARTO AERO	Temperatura (°C)	23.0	21.7	20.0	16.5	12.8	9.7	8.8	11.2	14.0	17.2	20.3	22.5	
RÍO CUARTO AERO	Temperatura máxima (°C)	29.1	27.7	26.3	22.9	19.1	16.3	15.7	18.6	21.1	23.9	26.8	29.0	
RÍO CUARTO AERO	Temperatura mínima (°C)	17.6	16.5	15.1	11.6	8.2	4.8	3.8	5.5	8.1	11.5	14.3	16.6	
RÍO CUARTO AERO	Humedad relativa (%)	66.7	71.3	72.8	71.5	73.3	69.9	64.8	57.6	56.5	60.8	59.4	60.4	
RÍO CUARTO AERO	Velocidad del Viento (km/h) (2011-2020)	18.0	15.7	15.8	15.4	14.9	14.4	16.0	18.5	20.5	21.5	21.7	20.4	
RÍO CUARTO AERO	Nubosidad total (octavos)	3.3	3.4	3.2	3.6	4.0	3.7	3.5	3.1	3.3	3.7	3.6	3.3	
RÍO CUARTO AERO	Precipitación (mm)	135.4	104.7	102.0	67.0	29.2	7.7	9.0	10.9	35.0	81.0	127.0	129.6	
RÍO CUARTO AERO	Frecuencia de días con Precipitación superior a 1.0 mm	8.4	7.0	6.8	5.9	3.4	1.6	1.8	1.5	3.9	7.6	8.7	8.8	
MARCOS JUÁREZ AERO	Temperatura (°C)	23.5	22.1	20.6	17.2	13.5	10.3	9.2	11.3	14.2	17.8	20.9	22.9	
MARCOS JUÁREZ AERO	Temperatura máxima (°C)	30.4	28.9	27.9	24.4	20.4	17.3	16.8	19.7	22.3	25.1	28.1	30.0	
MARCOS JUÁREZ AERO	Temperatura mínima (°C)	17.2	16.2	14.7	11.7	8.3	4.9	3.5	4.8	7.2	11.2	14.0	16.1	
MARCOS JUÁREZ AERO	Humedad relativa (%)	75.4	79.3	78.1	78.2	80.5	80.3	76.8	71.4	68.9	69.9	66.8	69.6	
MARCOS JUÁREZ AERO	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
MARCOS JUÁREZ AERO	Nubosidad total (octavos)	3.1	3.2	3.1	3.6	3.9	4.0	3.6	3.2	3.4	3.7	3.3	3.2	
MARCOS JUÁREZ AERO	Precipitación (mm)	114.4	118.9	109.7	107.3	37.0	18.8	12.5	21.6	42.2	102.3	109.3	148.6	
MARCOS JUÁREZ AERO	Frecuencia de días con Precipitación superior a 1.0 mm	6.2	6.4	6.5	6.8	3.5	2.3	1.8	2.3	3.9	6.7	7.3	7.7	
VENADO TUERTO AERO	Temperatura (°C)	23.0	21.6	20.0	16.5	13.0	9.9	8.8	11.0	13.6	16.9	20.2	22.4	
VENADO TUERTO AERO	Temperatura máxima (°C)	29.7	28.3	27.1	23.7	19.7	16.6	16.0	18.9	21.2	23.7	27.4	29.5	
VENADO TUERTO AERO	Temperatura mínima (°C)	16.6	15.7	14.0	10.9	7.9	4.5	3.3	4.5	6.8	10.4	13.3	15.4	
VENADO TUERTO AERO	Humedad relativa (%)	76.5	80.7	79.7	79.2	80.9	80.1	77.6	72.6	70.4	72.9	69.0	70.3	
VENADO TUERTO AERO	Velocidad del Viento (km/h) (2011-2020)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	
VENADO TUERTO AERO	Nubosidad total (octavos)	2.9	3.1	2.9	3.4	3.8	3.8	3.7	3.2	3.2	3.5	3.1	2.9	
VENADO TUERTO AERO	Precipitación (mm)	112.6	112.0	122.4	89.7	45.3	17.7	S/D	21.5	45.1	93.0	90.5	S/D	
VENADO TUERTO AERO	Frecuencia de días con Precipitación superior a 1.0 mm	7.0	6.3	6.4	6.5	4.1	2.0	S/D	2.2	4.1	7.3	6.5	S/D	
EL TRÉBOL	Temperatura (°C)	23.9	22.5	20.9	17.3	13.8	10.7	9.6	11.8	14.6	18.0	20.9	23.0	
EL TRÉBOL	Temperatura máxima (°C)	30.7	29.2	27.9	24.3	20.5	17.4	16.9	19.7	22.0	24.8	27.9	29.9	
EL TRÉBOL	Temperatura mínima (°C)	17.4	16.4	14.8	11.8	8.4	5.4	3.8	5.1	7.6	11.6	14.2	16.4	
EL TRÉBOL	Humedad relativa (%)	70.6	75.6	75.7	76.9	78.4	77.9	73.7	69.3	66.8	69.5	66.1	67.9	
EL TRÉBOL	Velocidad del Viento (km/h) (2011-2020)	9.3	9.0	8.6	9.2	9.0	8.4	8.8	10.6	11.2	11.6	11.2	10.1	
EL TRÉBOL	Nubosidad total (octavos)	3.3	3.4	3.2	3.7	4.1	4.1	3.8	3.3	3.3	3.7	3.3	3.3	
